,Author,collaborators
12841,Susan M Noor,"['Nobuo Koizumi', 'Masatomo Morita', 'Harimurti Nuradji', 'N L P Indi Dharmayanti', 'Patriantariksina Randusari', 'Jung-Jung Mu', 'Rontgene M Solante', 'Nobuo Saito', 'Koya Ariyoshi', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Yukihiro Akeda', 'Kozue Miura']"
12842,N L P Indi Dharmayanti,"['Nobuo Koizumi', 'Masatomo Morita', 'Harimurti Nuradji', 'Susan M Noor', 'Patriantariksina Randusari', 'Jung-Jung Mu', 'Rontgene M Solante', 'Nobuo Saito', 'Koya Ariyoshi', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Yukihiro Akeda', 'Kozue Miura']"
12843,Patriantariksina Randusari,"['Nobuo Koizumi', 'Masatomo Morita', 'Harimurti Nuradji', 'Susan M Noor', 'N L P Indi Dharmayanti', 'Jung-Jung Mu', 'Rontgene M Solante', 'Nobuo Saito', 'Koya Ariyoshi', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Yukihiro Akeda', 'Kozue Miura']"
12844,Yukihiro Akeda,"['Nobuo Koizumi', 'Masatomo Morita', 'Harimurti Nuradji', 'Susan M Noor', 'N L P Indi Dharmayanti', 'Patriantariksina Randusari', 'Jung-Jung Mu', 'Rontgene M Solante', 'Nobuo Saito', 'Koya Ariyoshi', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Kozue Miura']"
12845,Marika L Klosowski,['Andrea A Bohn']
12846,Andrea A Bohn,['Marika L Klosowski']
12847,Federico Schaumburg,"['Juan P Vidocevich', 'Gabriel S Gerlero', 'Nazarena Pujato', 'Joana Macagno', 'Pablo A Kler', 'Claudio L A Berli']"
12848,Juan P Vidocevich,"['Federico Schaumburg', 'Gabriel S Gerlero', 'Nazarena Pujato', 'Joana Macagno', 'Pablo A Kler', 'Claudio L A Berli']"
12849,Gabriel S Gerlero,"['Federico Schaumburg', 'Juan P Vidocevich', 'Nazarena Pujato', 'Joana Macagno', 'Pablo A Kler', 'Claudio L A Berli']"
12850,Joana Macagno,"['Federico Schaumburg', 'Juan P Vidocevich', 'Gabriel S Gerlero', 'Nazarena Pujato', 'Pablo A Kler', 'Claudio L A Berli']"
12851,Pablo A Kler,"['Federico Schaumburg', 'Juan P Vidocevich', 'Gabriel S Gerlero', 'Nazarena Pujato', 'Joana Macagno', 'Claudio L A Berli']"
12852,Claudio L A Berli,"['Federico Schaumburg', 'Juan P Vidocevich', 'Gabriel S Gerlero', 'Nazarena Pujato', 'Joana Macagno', 'Pablo A Kler']"
12853,Ana Carolina Ferreira Veríssimo,"['Thais Miranda Silva Freitas', 'Juliana Moraes Dias', 'Joyce Rodrigues Lobo', 'Gustavo Lage Costa', 'Maria Ivete de Moura', 'Vincenzo Landi', 'Amparo Martínez Martínez', 'Adriana Santana do Carmo', 'Maria Clorinda Soares Fioravanti']"
12854,Joyce Rodrigues Lobo,"['Thais Miranda Silva Freitas', 'Juliana Moraes Dias', 'Ana Carolina Ferreira Veríssimo', 'Gustavo Lage Costa', 'Maria Ivete de Moura', 'Vincenzo Landi', 'Amparo Martínez Martínez', 'Adriana Santana do Carmo', 'Maria Clorinda Soares Fioravanti']"
12855,Gustavo Lage Costa,"['Thais Miranda Silva Freitas', 'Juliana Moraes Dias', 'Ana Carolina Ferreira Veríssimo', 'Joyce Rodrigues Lobo', 'Maria Ivete de Moura', 'Vincenzo Landi', 'Amparo Martínez Martínez', 'Adriana Santana do Carmo', 'Maria Clorinda Soares Fioravanti']"
12856,Maria Ivete de Moura,"['Thais Miranda Silva Freitas', 'Juliana Moraes Dias', 'Ana Carolina Ferreira Veríssimo', 'Joyce Rodrigues Lobo', 'Gustavo Lage Costa', 'Vincenzo Landi', 'Amparo Martínez Martínez', 'Adriana Santana do Carmo', 'Maria Clorinda Soares Fioravanti']"
12857,Amparo Martínez Martínez,"['Thais Miranda Silva Freitas', 'Juliana Moraes Dias', 'Ana Carolina Ferreira Veríssimo', 'Joyce Rodrigues Lobo', 'Gustavo Lage Costa', 'Maria Ivete de Moura', 'Vincenzo Landi', 'Adriana Santana do Carmo', 'Maria Clorinda Soares Fioravanti']"
12858,Nicholas N Pilau,"['Aristea A Lubar', 'Aminu I Daneji', 'Usman M Mera', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12859,Aristea A Lubar,"['Nicholas N Pilau', 'Aminu I Daneji', 'Usman M Mera', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12860,Aminu I Daneji,"['Nicholas N Pilau', 'Aristea A Lubar', 'Usman M Mera', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12861,Usman M Mera,"['Nicholas N Pilau', 'Aristea A Lubar', 'Aminu I Daneji', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12862,Abdullahi A Magaji,"['Nicholas N Pilau', 'Aristea A Lubar', 'Aminu I Daneji', 'Usman M Mera', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12863,Elmina A Abiayi,"['Nicholas N Pilau', 'Aristea A Lubar', 'Aminu I Daneji', 'Usman M Mera', 'Abdullahi A Magaji', 'Kira L Chaiboonma', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12864,Kira L Chaiboonma,"['Nicholas N Pilau', 'Aristea A Lubar', 'Aminu I Daneji', 'Usman M Mera', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Emmanuel I Busayo', 'Joseph M Vinetz', 'Michael A Matthias']"
12865,Emmanuel I Busayo,"['Nicholas N Pilau', 'Aristea A Lubar', 'Aminu I Daneji', 'Usman M Mera', 'Abdullahi A Magaji', 'Elmina A Abiayi', 'Kira L Chaiboonma', 'Joseph M Vinetz', 'Michael A Matthias']"
12866,Marie-Thérèse Ruf,"['Anou Dreyfus', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12867,Nadine Loosli,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12868,Tshokey Tshokey,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12869,John Stenos,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12870,Eliharintsoa Rajaonarimirana,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12871,Gustavo Concha,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12872,Jorge Orozco,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12873,Johana Colorado,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Andrés Aristizábal', 'Juan C Dib', 'Simone Kann']"
12874,Andrés Aristizábal,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Juan C Dib', 'Simone Kann']"
12875,Juan C Dib,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Simone Kann']"
12876,Simone Kann,"['Anou Dreyfus', 'Marie-Thérèse Ruf', 'Marga Goris', 'Sven Poppert', 'Anne Mayer-Scholl', 'Nadine Loosli', 'Nadja S Bier', 'Daniel H Paris', 'Tshokey Tshokey', 'John Stenos', 'Eliharintsoa Rajaonarimirana', 'Gustavo Concha', 'Jorge Orozco', 'Johana Colorado', 'Andrés Aristizábal', 'Juan C Dib']"
12877,Guoying Xu,"['Haiyan Qiu', 'Weijun Liu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Jiaxiong Wang', 'Zhenpeng Li', 'Yongzhang Zhu', 'Cuicai Zhang', 'Fangzhen Xiao']"
12878,Haiyan Qiu,"['Guoying Xu', 'Weijun Liu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Jiaxiong Wang', 'Zhenpeng Li', 'Yongzhang Zhu', 'Cuicai Zhang', 'Fangzhen Xiao']"
12879,Weijun Liu,"['Guoying Xu', 'Haiyan Qiu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Jiaxiong Wang', 'Zhenpeng Li', 'Yongzhang Zhu', 'Cuicai Zhang', 'Fangzhen Xiao']"
12880,Jiaxiong Wang,"['Guoying Xu', 'Haiyan Qiu', 'Weijun Liu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Zhenpeng Li', 'Yongzhang Zhu', 'Cuicai Zhang', 'Fangzhen Xiao']"
12881,Zhenpeng Li,"['Guoying Xu', 'Haiyan Qiu', 'Weijun Liu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Jiaxiong Wang', 'Yongzhang Zhu', 'Cuicai Zhang', 'Fangzhen Xiao']"
12882,Fangzhen Xiao,"['Guoying Xu', 'Haiyan Qiu', 'Weijun Liu', 'Xiugao Jiang', 'Yung-Fu Chang', 'Jiaxiong Wang', 'Zhenpeng Li', 'Yongzhang Zhu', 'Cuicai Zhang']"
12883,Yuan Gao,"['Wenlong Zhang', 'Ning Song', 'Xufeng Xie', 'Kun Liu', 'Yongguo Cao', 'Ningyi Jin']"
12884,Kun Liu,"['Wenlong Zhang', 'Ning Song', 'Yuan Gao', 'Xufeng Xie', 'Yongguo Cao', 'Ningyi Jin']"
12885,Ningyi Jin,"['Wenlong Zhang', 'Ning Song', 'Yuan Gao', 'Xufeng Xie', 'Kun Liu', 'Yongguo Cao']"
12886,Thawatchai Toemjai,"['Pramote Thongkrajai', 'Choosak Nithikathkul']"
12887,Pramote Thongkrajai,"['Thawatchai Toemjai', 'Choosak Nithikathkul']"
12888,Choosak Nithikathkul,"['Thawatchai Toemjai', 'Pramote Thongkrajai']"
12889,Long Pham-Thanh,"['Thu Van Nhu', 'Trung Vinh Nguyen', 'Khang Vuong Tran', 'Khanh Cong Nguyen', 'Huong Thi Nguyen', 'Pawin Padungtod']"
12890,Thu Van Nhu,"['Long Pham-Thanh', 'Trung Vinh Nguyen', 'Khang Vuong Tran', 'Khanh Cong Nguyen', 'Huong Thi Nguyen', 'Pawin Padungtod']"
12891,Trung Vinh Nguyen,"['Long Pham-Thanh', 'Thu Van Nhu', 'Khang Vuong Tran', 'Khanh Cong Nguyen', 'Huong Thi Nguyen', 'Pawin Padungtod']"
12892,Khang Vuong Tran,"['Long Pham-Thanh', 'Thu Van Nhu', 'Trung Vinh Nguyen', 'Khanh Cong Nguyen', 'Huong Thi Nguyen', 'Pawin Padungtod']"
12893,Khanh Cong Nguyen,"['Long Pham-Thanh', 'Thu Van Nhu', 'Trung Vinh Nguyen', 'Khang Vuong Tran', 'Huong Thi Nguyen', 'Pawin Padungtod']"
12894,Huong Thi Nguyen,"['Long Pham-Thanh', 'Thu Van Nhu', 'Trung Vinh Nguyen', 'Khang Vuong Tran', 'Khanh Cong Nguyen', 'Pawin Padungtod']"
12895,Lorena Mejía,"['Belén Prado', 'Paúl Cárdenas', 'Gabriel Trueba', 'Fernando González-Candelas']"
12896,Belén Prado,"['Lorena Mejía', 'Paúl Cárdenas', 'Gabriel Trueba', 'Fernando González-Candelas']"
12897,Paúl Cárdenas,"['Lorena Mejía', 'Belén Prado', 'Gabriel Trueba', 'Fernando González-Candelas']"
12898,Fernando González-Candelas,"['Lorena Mejía', 'Belén Prado', 'Paúl Cárdenas', 'Gabriel Trueba']"
12899,Arthit Phosri,[]
12900,Pavlo Petakh,"['Andriy Nykyforuk', 'Vitaliia Isevych', 'Aleksandr Kamyshnyi', 'Valentyn Oksenych', 'Larysa Rostoka']"
12901,Andriy Nykyforuk,['Pavlo Petakh']
12902,Eleanor M Rees,"['Colleen L Lau', 'Mike Kama', 'Simon Reid', 'Rachel Lowe', 'Adam J Kucharski', 'Martín Lotto Batista', 'Andrea Gómez', 'Soledad López', 'Stefanie Castell', 'Stéphane Ghozzi', 'Gabriela V Müller']"
12903,Rachel Lowe,"['Eleanor M Rees', 'Colleen L Lau', 'Mike Kama', 'Simon Reid', 'Adam J Kucharski', 'Martín Lotto Batista', 'Andrea Gómez', 'Soledad López', 'Stefanie Castell', 'Stéphane Ghozzi', 'Gabriela V Müller']"
12904,Adam J Kucharski,"['Eleanor M Rees', 'Colleen L Lau', 'Mike Kama', 'Simon Reid', 'Rachel Lowe', 'Martín Lotto Batista', 'Andrea Gómez', 'Soledad López', 'Stefanie Castell', 'Stéphane Ghozzi', 'Gabriela V Müller']"
12905,Thanyatorn Jiradechbadee,"['Nongyao Sawangjaroen', 'Gorrawee Na Ranong', 'Thanit Sila', 'Hansuk Buncherd', 'Aung Win Tun', 'Supinya Thanapongpichat']"
12906,Nongyao Sawangjaroen,"['Thanyatorn Jiradechbadee', 'Gorrawee Na Ranong', 'Thanit Sila', 'Hansuk Buncherd', 'Aung Win Tun', 'Supinya Thanapongpichat']"
12907,Gorrawee Na Ranong,"['Thanyatorn Jiradechbadee', 'Nongyao Sawangjaroen', 'Thanit Sila', 'Hansuk Buncherd', 'Aung Win Tun', 'Supinya Thanapongpichat']"
12908,Thanit Sila,"['Thanyatorn Jiradechbadee', 'Nongyao Sawangjaroen', 'Gorrawee Na Ranong', 'Hansuk Buncherd', 'Aung Win Tun', 'Supinya Thanapongpichat']"
12909,Hansuk Buncherd,"['Thanyatorn Jiradechbadee', 'Nongyao Sawangjaroen', 'Gorrawee Na Ranong', 'Thanit Sila', 'Aung Win Tun', 'Supinya Thanapongpichat']"
12910,Aung Win Tun,"['Thanyatorn Jiradechbadee', 'Nongyao Sawangjaroen', 'Gorrawee Na Ranong', 'Thanit Sila', 'Hansuk Buncherd', 'Supinya Thanapongpichat']"
12911,Supinya Thanapongpichat,"['Thanyatorn Jiradechbadee', 'Nongyao Sawangjaroen', 'Gorrawee Na Ranong', 'Thanit Sila', 'Hansuk Buncherd', 'Aung Win Tun']"
12912,W Villamil-Gómez,[]
12913,Yukari C Manabe,"['Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12914,Joshua Betz,"['Yukari C Manabe', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12915,Olivia Jackson,"['Yukari C Manabe', 'Joshua Betz', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12916,Victor Asoala,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12917,Isabel Bazan,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12918,Paul W Blair,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12919,Aileen Chang,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12920,Kimberly A Edgel,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12921,Dennis J Faix,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Stefan Fernandez', 'Anne T Fox', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
12922,Anne T Fox,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Jose A Garcia', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones', 'Janice N A Tagoe', 'Clara Yeboah', 'Eric Behene', 'Selassie Kumordjie', 'Shirley Nimo-Paintsil', 'Naiki Attram', 'Edward O Nyarko', 'John Ayite Carroll', 'Chaselynn Watters', 'Kwadwo Koram', 'Abraham Kwabena Anang', 'Terrel Sanders']"
12923,Jose A Garcia,"['Yukari C Manabe', 'Joshua Betz', 'Olivia Jackson', 'Victor Asoala', 'Isabel Bazan', 'Paul W Blair', 'Aileen Chang', 'Sarunyou Chusri', 'John A Crump', 'Kimberly A Edgel', 'Dennis J Faix', 'Stefan Fernandez', 'Anne T Fox', 'Max Grogl', 'Erin A Hansen', 'Vireak Heang', 'Stacey L House', 'Krisada Jongsakul', 'Michael B Kaburise', 'Chonticha Klungthong', 'Mohammed Lamorde', 'Andrew G Letizia', 'Ivette Lorenzana', 'Malen Luy', 'Vanance P Maro', 'Christopher N Mores', 'Christopher A Myers', 'Abraham R Oduro', 'Leda Parham', 'Abigail J Porzucek', 'Michael Prouty', 'David S Rabiger', 'Matthew P Rubach', 'Crystyan Siles', 'Maria Silva', 'Chinaka Ukachu', 'John N Waitumbi', 'Cynthia L Phillips', 'Brian W Jones']"
